epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,2673.17,1.47545,0.87794,0.8872,0.97105,0.90481,0.94893,0.46264,1.76641,0.76484,0.95117,0.00020008,0.00020008,0.00020008
146,2698.18,1.47755,0.88313,0.88564,0.96882,0.90349,0.94408,0.46341,1.76861,0.7772,0.95278,0.000194525,0.000194525,0.000194525
147,2715.94,1.51977,0.91739,0.89589,0.95722,0.90716,0.94464,0.46313,1.7535,0.77774,0.94817,0.00018897,0.00018897,0.00018897
148,2733.59,1.465,0.86761,0.88351,0.9615,0.90393,0.94901,0.46072,1.75718,0.77769,0.9471,0.000183415,0.000183415,0.000183415
149,2752.49,1.52437,0.9234,0.89137,0.97175,0.90387,0.95004,0.46594,1.74781,0.75571,0.94578,0.00017786,0.00017786,0.00017786
150,2770.18,1.4855,0.89184,0.89732,0.97192,0.89871,0.94934,0.45935,1.76718,0.7722,0.9502,0.000172305,0.000172305,0.000172305
151,2787.94,1.45106,0.85223,0.88406,0.96479,0.90245,0.95079,0.46996,1.73936,0.76271,0.94641,0.00016675,0.00016675,0.00016675
152,2806.52,1.50515,0.88463,0.88131,0.96792,0.90708,0.95681,0.45863,1.76963,0.76181,0.94931,0.000161195,0.000161195,0.000161195
153,2825.32,1.46511,0.86219,0.88681,0.97439,0.90674,0.95402,0.47392,1.72386,0.76096,0.94334,0.00015564,0.00015564,0.00015564
154,2843.37,1.44301,0.85646,0.89085,0.97511,0.90869,0.95273,0.46088,1.77748,0.76586,0.95097,0.000150085,0.000150085,0.000150085
155,2861.14,1.46157,0.87861,0.89084,0.97078,0.91069,0.94912,0.46016,1.77516,0.76548,0.95053,0.00014453,0.00014453,0.00014453
156,2880.02,1.48071,0.86263,0.88379,0.97703,0.92162,0.95448,0.47251,1.74724,0.75332,0.94618,0.000138975,0.000138975,0.000138975
157,2897.93,1.41582,0.83508,0.87292,0.97142,0.91971,0.95152,0.46737,1.76142,0.76887,0.94831,0.00013342,0.00013342,0.00013342
158,2916.04,1.45159,0.82835,0.88099,0.97639,0.9188,0.95003,0.46753,1.76583,0.76189,0.94798,0.000127865,0.000127865,0.000127865
159,2934.24,1.44708,0.85298,0.8777,0.96538,0.91267,0.94582,0.45702,1.78286,0.75963,0.95084,0.00012231,0.00012231,0.00012231
160,2952.27,1.39766,0.79804,0.87912,0.97569,0.92194,0.95522,0.46717,1.76018,0.75871,0.94723,0.000116755,0.000116755,0.000116755
161,2970.26,1.42686,0.82952,0.86988,0.97244,0.91709,0.95236,0.46245,1.76613,0.7649,0.95046,0.0001112,0.0001112,0.0001112
162,2988.99,1.43241,0.84541,0.88141,0.9687,0.91951,0.95143,0.46851,1.75427,0.75591,0.95026,0.000105645,0.000105645,0.000105645
163,3006.38,1.40139,0.82207,0.87526,0.96826,0.91515,0.95047,0.46845,1.74868,0.75538,0.94818,0.00010009,0.00010009,0.00010009
164,3025.17,1.45217,0.85157,0.88055,0.97256,0.91389,0.95264,0.4728,1.73943,0.75422,0.94509,9.4535e-05,9.4535e-05,9.4535e-05
165,3043.21,1.41836,0.83135,0.87469,0.96268,0.91249,0.94335,0.46409,1.76195,0.76031,0.94891,8.898e-05,8.898e-05,8.898e-05
166,3061.78,1.43486,0.87308,0.8796,0.96333,0.91708,0.94676,0.46381,1.77196,0.7672,0.94989,8.3425e-05,8.3425e-05,8.3425e-05
167,3079.92,1.43419,0.84435,0.8802,0.95459,0.91184,0.94101,0.4613,1.77537,0.76412,0.95123,7.787e-05,7.787e-05,7.787e-05
168,3098.63,1.40473,0.82473,0.87302,0.9679,0.91478,0.94819,0.46521,1.75767,0.76115,0.94829,7.2315e-05,7.2315e-05,7.2315e-05
169,3112.37,1.41188,0.82005,0.87448,0.97143,0.91824,0.95025,0.4617,1.76305,0.76147,0.94904,6.676e-05,6.676e-05,6.676e-05
170,3135.67,1.4034,0.83033,0.87612,0.96466,0.92356,0.94902,0.46464,1.75166,0.75508,0.94792,6.1205e-05,6.1205e-05,6.1205e-05
171,3155.35,1.1543,0.57494,0.8492,0.96438,0.91773,0.94629,0.45779,1.76682,0.75756,0.94988,5.565e-05,5.565e-05,5.565e-05
172,3171.74,1.14666,0.55689,0.85272,0.96392,0.91168,0.94161,0.45315,1.78728,0.75867,0.95437,5.0095e-05,5.0095e-05,5.0095e-05
173,3188.49,1.17217,0.57445,0.85453,0.96559,0.91808,0.94342,0.45661,1.78868,0.75642,0.95467,4.454e-05,4.454e-05,4.454e-05
